Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual result),Custom field (Branch),Custom field (Build Version),Custom field (Component/s),Custom field (Defect preconditions),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Expected result),Custom field (Fix Version/s),Custom field (Flagged),Custom field (HH Options),Custom field (Location),Custom field (Original story points),Custom field (Parent Link),Custom field (QA person),Custom field (Rank),Custom field (Requirement),Sprint,Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Environment),Custom field (Version 1.0),Custom field (Version app),Custom field (Work Price),Comment
 Ctrl+Z залишає порожній запис у списку після скасування додавання елемента,TESPG177-724,190404,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 11:36 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Обрано режим роботи

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути ""Add to List"" або Enter
# Натиснути Ctrl+Z
# Перевірити список

*Actual Result:*
Елемент видаляється, але на його місці залишається порожній запис, лічильник не змінюється

*Expected Result:*
Додавання елемента має повністю скасовуватись, запис видаляється зі списку без залишкових порожніх елементів
",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 11:36 PM;b.kotkov_g177;2026-04-11 22-35-57.mp4;https://bt.qacloud.cc/secure/attachment/117986/2026-04-11+22-35-57.mp4",,,,,,,,,,,,,,,,,,,"1|i0gf11:",,,,,,,,,,,,
Після очищення списку та відкриття файлу відображається неповний список (відсутній один запис),TESPG177-722,190402,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 11:27 PM,14/Apr/26 11:16 PM,12/Sep/26 10:05 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Існує збережений список з відомою кількістю елементів

*Steps to Reproduce:*
# Відкрити збережений список
# Додати новий елемент у список
# Натиснути кнопку ""Clear List""
# Відкрити інший збережений файл зі списком
# Перевірити кількість елементів

*Actual Result:*
Один із записів у списку відсутній після відкриття файлу

*Expected Result:*
Список після відкриття має містити всі збережені елементи без втрат ",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 11:27 PM;b.kotkov_g177;2026-04-11 22-26-44.mp4;https://bt.qacloud.cc/secure/attachment/117985/2026-04-11+22-26-44.mp4",,,,,,,,,,,,,,,,,,,"1|i0gf0l:",,,,,,,,,,,,
При повторному відкритті списку додається порожній запис та збільшується кількість елементів,TESPG177-713,190393,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 8:43 PM,14/Apr/26 11:17 PM,09/Sep/26 1:05 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Існує збережений список з 11 елементів

*Steps to Reproduce:*
# Відкрити раніше збережений список
# Перевірити кількість елементів у списку
# Закрити список
# Повторно відкрити той самий файл
# Перевірити кількість елементів у списку

*Actual Result:*
При повторному відкритті додається порожній запис, кількість елементів збільшується (наприклад, з 11 до 12)

*Expected Result:*
Кількість елементів після відкриття має відповідати збереженим даним без додавання нових записів
",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 8:43 PM;b.kotkov_g177;2026-04-11 19-42-57.mp4;https://bt.qacloud.cc/secure/attachment/117984/2026-04-11+19-42-57.mp4",,,,,,,,,,,,,,,,,,,"1|i0geyl:",,,,,,,,,,,,
"Ctrl+V не вставляє значення, а після фокусу на списку переміщує виділення по елементах з літерою ""v""",TESPG177-712,190392,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 8:35 PM,14/Apr/26 11:16 PM,12/Sep/26 10:05 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
 # Запущено List Boxer 1.98
 # У списку є декілька елементів, деякі починаються з літери ""v""

*Steps to Reproduce:*
 # Клацнути мишею по області списку
 # Натиснути Ctrl+V
 # Повторити натискання Ctrl+V декілька разів

*Actual Result:*
Значення не вставляється
Фокус/виділення переміщується по елементах списку, що починаються з літери ""v""

*Expected Result:*
Значення з буфера обміну має вставлятися при натисканні Ctrl+V",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 8:34 PM;b.kotkov_g177;2026-04-11 19-34-09.mp4;https://bt.qacloud.cc/secure/attachment/117983/2026-04-11+19-34-09.mp4",,,,,,,,,,,,,,,,,,,"1|i0geyd:",,,,,,,,,,,,
"Ctrl+X не вирізає елемент, а після фокусу на списку переміщує виділення по елементах з літерою ""x""",TESPG177-711,190391,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 8:26 PM,14/Apr/26 11:17 PM,09/Sep/26 1:05 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# У списку є декілька елементів, деякі починаються з літери ""x""
# Елемент у списку вибраний

*Steps to Reproduce:*
# Клацнути мишею по області списку
# Виділити будь-який елемент
# Натиснути Ctrl+X
# Повторити натискання Ctrl+X декілька разів

*Actual Result:*
Елемент не вирізається
Фокус/виділення переміщується по елементах списку, що починаються з літери ""x""

*Expected Result:*
Вибраний елемент має вирізатися (видалятися зі списку) та копіюватися в буфер обміну при натисканні Ctrl+X",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 8:25 PM;b.kotkov_g177;2026-04-11 19-25-15.mp4;https://bt.qacloud.cc/secure/attachment/117982/2026-04-11+19-25-15.mp4",,,,,,,,,,,,,,,,,,,"1|i0gey5:",,,,,,,,,,,,
"Ctrl+C не копіює елемент списку в буфер обміну,  але взамін цьому відбувається ""пошук"" і фокус на запису який починається на букву C,c .",TESPG177-710,190390,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 8:16 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# У списку є хоча б один елемент

*Steps to Reproduce:*
# Виділити елемент у списку
# Натиснути Ctrl+C
# Спробувати вставити значення (наприклад, у поле вводу або інший додаток)

*Actual Result:*
Нічого не копіюється, буфер обміну залишається порожнім,  але взамін цьому відбувається пошук і фокус на запису який починається на букву C,c  ЯКЩО  натиснути на список щоб фокус програми був на списку

*Expected Result:*
Вибраний елемент має копіюватися в буфер обміну при натисканні Ctrl+C",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 8:16 PM;b.kotkov_g177;2026-04-11 19-13-41.mp4;https://bt.qacloud.cc/secure/attachment/117981/2026-04-11+19-13-41.mp4",,,,,,,,,,,,,,,,,,,"1|i0gexx:",,,,,,,,,,,,
"Натискання клавіші F1 відкриває зовнішній сайт Майкрософт ""Помощь и обучение по Windows""  замість контекстної довідки програми",TESPG177-709,190389,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 8:03 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Будь-який елемент інтерфейсу доступний

*Steps to Reproduce:*
# Натиснути клавішу F1
# Перевірити результат

*Actual Result:*
Відкривається сайт Microsoft ""Помощь и обучение по Windows""

*Expected Result:*
Має відкриватися контекстна довідка для елементів програми відповідно до вимог 
",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 8:03 PM;b.kotkov_g177;2026-04-11 19-03-08.mp4;https://bt.qacloud.cc/secure/attachment/117980/2026-04-11+19-03-08.mp4",,,,,,,,,,,,,,,,,,,"1|i0gexp:",,,,,,,,,,,,
"Після очищення списку через кнопку ""Clear List"", лічильник ""Records in list"" не відновлює кількість записів у списку а залишається цифра 0 після очищення списку",TESPG177-691,190371,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 2:39 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98

*Steps to Reproduce:*
# Додати декілька елементів у список
# Натиснути кнопку ""Clear List""
# Відкрити меню ""Edit""
# Обрати команду ""Undo""
# Перевірити список

*Actual Result:*
Лічильник ""Records in list"" не відновлює кількість записів у списку а залишається цифра 0 після очищення списку

*Expected Result:*
Остання дія (очищення списку) має скасовуватись, список відновлюється до попереднього стану
",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 2:39 PM;b.kotkov_g177;2026-04-11 13-39-10.mp4;https://bt.qacloud.cc/secure/attachment/117977/2026-04-11+13-39-10.mp4",,,,,,,,,,,,,,,,,,,"1|i0getp:",,,,,,,,,,,,
Undo не скасовує додавання елемента після використання команди в меню Edit,TESPG177-690,190370,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 2:30 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
 # Запущено List Boxer 1.98
 # Обрано режим роботи
 # Список порожній

*Steps to Reproduce:*
 # Ввести значення у поле вводу
 # Натиснути ""Add to List"" або Enter
 # Відкрити меню ""Edit""
 # Обрати команду ""Undo""
 # Перевірити список

*Actual Result:*
Остання дія не скасовується, доданий елемент залишається у списку. Лічільник не зменшився на 1

*Expected Result:*
Остання дія має скасовуватись через команду Undo в меню Edit",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 2:29 PM;b.kotkov_g177;2026-04-11 13-28-31.mp4;https://bt.qacloud.cc/secure/attachment/117976/2026-04-11+13-28-31.mp4",,,,,,,,,,,,,,,,,,,"1|i0geth:",,,,,,,,,,,,
"Button ""Clear List"" не видаляє інформацію зі списку після додавання одного елемента. Кнопка залишається сірою і з нею неможна взаємодіяти ",TESPG177-689,190369,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:46 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути ""Add to List"" або Enter
# Натиснути кнопку ""Clear List""
# Перевірити список

*Actual Result:*
Кнопка ""Clear List"" не працює після додавання одного елемента, список не очищається

*Expected Result:*
Уся введена інформація має видалятися після натискання кнопки ""Clear List""",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:46 PM;b.kotkov_g177;2026-04-11 12-45-43.mp4;https://bt.qacloud.cc/secure/attachment/117975/2026-04-11+12-45-43.mp4",,,,,,,,,,,,,,,,,,,"1|i0get9:",,,,,,,,,,,,
Багаторазове швидке натискання клавіші ENTER на клавіатурі додає елементи у список без будь яких обмежень чи попереджень що нічого не вказано у полі вводу,TESPG177-688,190368,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:39 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Швидко кілька разів натиснути клавішу Enter
# Перевірити вміст списку

*Actual Result:*
Пусті записи додаються в список без будь яких попереджень чи обмежень щодо кількості натискань

*Expected Result:*
Не вказано. У вимогах зазначено, що натискання Enter додає рядок у список без обмежень щодо кількості натискань",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:39 PM;b.kotkov_g177;2026-04-11 12-38-55.mp4;https://bt.qacloud.cc/secure/attachment/117974/2026-04-11+12-38-55.mp4",,,,,,,,,,,,,,,,,,,"1|i0get1:",,,,,,,,,,,,
"Багаторазове швидке натискання ""Add to List"" додає елементи у список без будь яких обмежень чи попереджень що нічого не вказано у полі вводу",TESPG177-687,190367,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:34 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Швидко кілька разів натиснути кнопку ""Add to List""
# Перевірити вміст списку

*Actual Result:*
При швидкому натисканні кнопки ""Add to List"" ніяких попереджень чи обмежень немає і програма пропускає додавання пустих значень у список

*Expected Result:*
Не вказано. У вимогах зазначено лише, що кнопка ""Add to List"" переносить інформацію з поля вводу в список без обмежень щодо кількості натискань",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:33 PM;b.kotkov_g177;2026-04-11 12-33-01.mp4;https://bt.qacloud.cc/secure/attachment/117973/2026-04-11+12-33-01.mp4",,,,,,,,,,,,,,,,,,,"1|i0gest:",,,,,,,,,,,,
