Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Automation Test Key),Custom field (Branch),Custom field (Build Version),Custom field (Component/s),Custom field (Defects),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Fix Version/s),Custom field (Flagged),Custom field (HH Options),Custom field (Location),Custom field (Original story points),Custom field (Parent Link),Custom field (Preconditions),Custom field (QA person),Custom field (Rank),Custom field (Requirement),Sprint,Custom field (Steps),Custom field (Steps Progress),Custom field (Story Points),Custom field (TC Group),Custom field (TC Group Name),Custom field (TC Status),Custom field (TC Template),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Plan Iteration),Custom field (Version 1.0),Custom field (Version app),Custom field (Work Price),Comment
"Перевірити поведінку програми при натисканні F1, якщо фокус  не встановлений на конкретному елементі через табуляцію",TESPG177-681,190361,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:16 AM,11/Apr/26 1:27 AM,12/Sep/26 10:10 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Фокус не встановлений на конкретному елементі управління

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Переконатися, що жоден елемент не знаходиться у фокусі (через Tab)
# Натиснути клавішу F1
# Перевірити реакцію програми

*Expected Result:*
Не вказано ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 1:15 AM;b.kotkov_g177;2026-04-11 00-15-15.mp4;https://bt.qacloud.cc/secure/attachment/117965/2026-04-11+00-15-15.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gerh:",,,,,,,,,,,,,,,,,
Перевірити поведінку програми при натисканні Ctrl+Z без попередніх дій,TESPG177-680,190360,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:13 AM,11/Apr/26 1:27 AM,12/Aug/26 9:09 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Жодних дій зі списком не виконано

*Steps to Reproduce:*
# Натиснути комбінацію клавіш Ctrl+Z

*Expected Result:*
Не вказано",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 1:13 AM;b.kotkov_g177;2026-04-11 00-12-24.mp4;https://bt.qacloud.cc/secure/attachment/117964/2026-04-11+00-12-24.mp4",,,,,,,,,,,,,,,,,,,,"1|i0ger9:",,,,,,,,,,,,,,,,,
Перевірити роботу Ctrl+Z після очищення списку,TESPG177-678,190358,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:06 AM,11/Apr/26 1:27 AM,12/Sep/26 10:11 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Натиснути кнопку “Clear List”
# Натиснути комбінацію клавіш Ctrl+Z
# Перевірити список

*Expected Result:*
Комбінація клавіш Ctrl+Z скасовує очищення списку. Список відновлюється до попереднього стану з усіма елементами. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 1:06 AM;b.kotkov_g177;2026-04-11 00-05-07.mp4;https://bt.qacloud.cc/secure/attachment/117962/2026-04-11+00-05-07.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geqt:",,,,,,,,,,,,,,,,,
Перевірити роботу Ctrl+Z після додавання елемента в список,TESPG177-677,190357,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:02 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Обрано режим роботи

*Steps to Reproduce:*
# Ввести значення у поле вводу
# Натиснути “Add to List” або Enter
# Натиснути комбінацію клавіш Ctrl+Z
# Перевірити список

*Expected Result:*
Комбінація клавіш Ctrl+Z скасовує додавання елемента. Елемент видаляється зі списку.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 1:01 AM;b.kotkov_g177;2026-04-11 00-01-22.mp4;https://bt.qacloud.cc/secure/attachment/117961/2026-04-11+00-01-22.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geql:",,,,,,,,,,,,,,,,,
Перевірити роботу Ctrl+S після внесення змін до списку,TESPG177-676,190356,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:57 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує відкритий список

*Steps to Reproduce:*
# Відкрити існуючий список
# Додати новий елемент до списку
# Натиснути комбінацію клавіш Ctrl+S
# Перевірити результат збереження

*Expected Result:*
Комбінація клавіш Ctrl+S зберігає внесені зміни до списку.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:57 AM;b.kotkov_g177;2026-04-10 23-56-53.mp4;https://bt.qacloud.cc/secure/attachment/117960/2026-04-10+23-56-53.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geqd:",,,,,,,,,,,,,,,,,
Перевірити роботу Ctrl+O при наявності вже відкритого списку,TESPG177-675,190355,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:54 AM,14/Apr/26 11:14 PM,12/Aug/26 9:08 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Відкритий список у додатку
# Існує інший збережений файл списку на диску

*Steps to Reproduce:*
# Відкрити будь-який список
# Натиснути комбінацію клавіш Ctrl+O
# Обрати інший файл списку
# Підтвердити відкриття

*Expected Result:*
Не вказано ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:54 AM;b.kotkov_g177;2026-04-10 23-54-19.mp4;https://bt.qacloud.cc/secure/attachment/117959/2026-04-10+23-54-19.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geq5:",,,,,,,,,,,,,,,,,
"Перевірити, що використання гарячих клавіш не призводить до аварійного завершення програми",TESPG177-674,190354,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:46 AM,11/Apr/26 1:27 AM,12/Sep/26 10:11 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
 # Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
 # Послідовно використовувати гарячі клавіші: Ctrl+O, Ctrl+S, Ctrl+Q, Ctrl+C, Ctrl+X, Ctrl+V, Ctrl+Z, Alt+F4, F1
 # Спостерігати за поведінкою програми

*Expected Result:*
Використання гарячих клавіш не призводить до помилок або аварійного завершення програми.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:46 AM;b.kotkov_g177;2026-04-10 23-45-00.mp4;https://bt.qacloud.cc/secure/attachment/117958/2026-04-10+23-45-00.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gepx:",,,,,,,,,,,,,,,,,
Перевірити роботу клавіші F1 для виклику контекстного меню,TESPG177-673,190353,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:43 AM,11/Apr/26 1:27 AM,12/Sep/26 10:11 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Натиснути клавішу F1
# Перевірити реакцію програми

*Expected Result:*
Клавіша F1 викликає контекстну довідку.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:43 AM;b.kotkov_g177;2026-04-10 23-43-20.mp4;https://bt.qacloud.cc/secure/attachment/117957/2026-04-10+23-43-20.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gepp:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Alt+F4 для закриття програми,TESPG177-672,190352,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:40 AM,11/Apr/26 1:27 AM,12/Sep/26 10:11 PM,11/Apr/26 1:27 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Натиснути комбінацію клавіш Alt+F4

*Expected Result:*
Комбінація клавіш Alt+F4 закриває програму.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:40 AM;b.kotkov_g177;2026-04-10 23-39-57.mp4;https://bt.qacloud.cc/secure/attachment/117956/2026-04-10+23-39-57.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geph:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+Z для скасування останньої дії,TESPG177-671,190351,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:38 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Виконати дію (наприклад, додати елемент до списку)
# Натиснути комбінацію клавіш Ctrl+Z
# Перевірити список

*Expected Result:*
Комбінація клавіш Ctrl+Z скасовує останню дію.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:38 AM;b.kotkov_g177;2026-04-10 23-38-35.mp4;https://bt.qacloud.cc/secure/attachment/117955/2026-04-10+23-38-35.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gep9:",,,,,,,,,,,,,,,,,
